Thread Code,R,G,B
D292,-134,97,106
D324,-38,144,153
D327,93,173,179
D30135,131,186,185
DT219,145,194,184
D2219,137,199,185
D220,100,188,167
D20001,43,135,115
D20002,28,117,105
D223,-16,114,100
D20003,105,141,134
D20004,-1,95,94
D20005,8,96,98
D20006,39,157,113
D20007,-3,120,80
D20008,27,115,84
DT265,-27,107,73
D20009,24,98,72
D20010,0,87,56
D60043,116,144,162
D632,69,101,125
D633,70,90,115
D635,44,64,92
D308,38,55,78
D60044,43,52,73
D60045,133,158,180
D614,126,148,174
D615,98,110,136
D60046,63,70,90
D616,60,65,87
D60047,52,57,74
D30136,128,169,189
D30137,129,165,183
D30138,76,114,148
D30139,61,87,111
D30140,55,74,98
D30141,128,161,181
D30142,86,128,164
D30143,71,103,136
D30144,49,73,111
D30145,39,54,83
DS358,39,50,76
D335,45,52,73
D30146,80,85,94
D70031,187,166,141
D740,185,163,126
D70032,178,148,107
D70033,170,135,98
D70034,151,112,72
D70035,155,111,70
D70036,196,186,163
D70037,201,190,163
D780,182,168,143
D70038,163,146,120
D70039,160,144,121
DT813,147,132,115
D731,191,179,154
D732,197,182,152
D733,183,166,136
DT721,181,161,131
D734,171,146,121
D735,161,132,103
D70040,156,115,85
D736,126,90,68
D70041,118,84,60
D737,112,74,55
D738,87,59,49
D739,76,58,50
D70042,66,52,51
D40127,158,165,175
D692,107,114,129
D40128,89,94,109
D694,70,73,86
D40129,57,61,75
D40130,65,71,82
D40131,71,76,87
D40132,64,73,84
D40133,82,93,108
D693,88,100,111
D691,130,135,145
D690,153,159,164
D484,140,150,156
D40134,126,133,137
D40135,101,106,112
D40136,79,86,92
D40137,68,70,74
D40138,60,60,63
D30181,132,150,165
D315,74,90,115
D30182,55,64,88
D30183,44,50,67
D30184,49,54,66
D30185,47,52,63
D30186,50,53,63
D41C35,193,199,190
D41M96,168,182,183
D41L99,107,136,153
D41L72,110,135,150
D41N03,60,86,105
D41N43,68,90,103
D41N94,128,142,139
D41M98,111,125,130
D41B59,71,84,93
D41A84,77,86,95
D41M75,47,54,61
D41N81,63,71,84
D41AC3,69,78,88
D41AF3,99,112,127
D41L38,117,124,139
D41F00,188,193,185
D41L54,126,154,165
D41B26,88,116,129
D41AC7,78,115,128
D41G99,77,113,127
D41N63,56,84,102
D41A79,59,85,101
D41F05,47,61,80
D41G12,46,62,79
D41C32,44,52,66
D10006,214,150,126
DT170,211,128,94
D10007,203,92,63
D10008,198,81,49
D10009,193,68,51
D1051,189,61,46
D10010,180,56,42
D10011,166,53,48
D10012,229,114,56
D10013,210,98,55
D535,207,85,42
D10014,199,79,46
D10015,197,81,49
D10016,194,70,39
D10017,214,145,110
D10018,211,100,57
D10019,206,87,44
D10020,205,91,55
D10021,203,78,40
D10022,200,70,33
DS172,199,68,32
D10023,199,70,47
D10024,194,69,48
D10025,183,66,41
D10026,176,67,39
D60022,174,171,184
D625,115,105,152
D641,89,77,121
D60023,76,62,113
D60024,63,53,83
D622,166,169,189
D662,129,128,163
D623,108,103,140
D626,96,87,133
DS664,79,72,120
D60025,70,60,111
D665,69,64,106
D60026,164,168,187
D60027,150,155,182
D60028,125,130,163
D661,120,121,158
D663,85,81,118
D643,63,59,87
D680,155,170,193
D681,136,152,179
D682,118,130,164
D684,82,92,130
D60029,60,66,106
D667,48,55,91
D60030,41,46,79
D252,161,191,160
D261,163,197,163
D262,109,168,117
D20011,61,137,85
D20012,42,120,65
D20013,25,104,58
D20014,200,210,197
D322,105,176,154
D20015,108,174,152
D290,37,159,123
D272,148,191,161
D20016,111,168,134
DT264,72,138,100
D200,39,120,82
D20017,-21,105,57
DT263,99,143,106
D263,86,128,97
D264,77,120,92
D20018,63,111,75
D246,58,89,71
D20019,56,135,76
D20020,21,122,58
D20021,42,115,71
D20022,35,89,66
D20023,34,80,67
D362,150,178,198
D30147,98,145,176
D30148,82,123,156
D30149,41,86,126
D30150,46,79,119
D30151,37,62,97
D30152,137,160,185
D30153,122,151,181
D30154,68,109,155
D30155,50,81,128
D30156,44,69,113
D30157,166,182,190
D30158,143,167,184
D30159,116,143,166
D30160,143,164,178
D631,133,155,169
D332,103,136,163
D30161,78,113,137
D30162,170,185,188
D30163,140,168,178
DT363,115,155,176
DT364,82,128,159
DT365,55,106,143
D30164,33,81,116
D30165,40,70,96
D760,184,167,152
D761,174,159,144
DT811,159,147,133
D70043,151,139,128
D762,140,118,106
D70044,133,109,96
D763,123,104,94
D764,118,99,90
D70045,110,88,77
D70046,100,79,71
D70047,75,60,52
D70048,207,202,188
D70049,209,202,186
D70050,203,190,171
D742,177,154,127
D741,179,149,119
D70051,157,110,84
D784,162,109,82
D70052,143,91,65
D785,115,73,58
D70053,102,68,57
D70054,95,64,52
D70055,78,64,63
D70056,68,58,57
D70057,68,62,62
D40139,152,159,161
D40140,140,152,156
D40141,135,147,153
D40142,103,116,129
D40143,100,113,123
D30187,123,145,155
D30188,131,155,164
D40144,152,168,173
D30189,136,157,168
D30190,106,139,162
D30191,78,96,116
D30192,47,68,90
D30193,43,57,73
D30194,56,72,82
D473,75,115,129
D40145,121,143,151
D40146,139,154,163
D40147,102,117,128
D30195,90,108,122
D30196,60,72,86
D30197,46,60,80
D30198,45,50,66
D30199,44,50,62
D30200,41,48,55
D30201,42,48,56
D41M95,152,174,184
D41N96,120,146,168
D41H32,78,108,131
D41G07,41,85,121
D41M88,40,77,110
D41ABA,40,68,96
D41M18,129,183,189
D41E02,15,146,180
D41G95,-35,109,160
D41B15,-63,101,148
D41N79,55,132,178
D41A81,113,157,178
D41N60,123,159,178
D41L73,162,189,195
D41G05,161,184,192
D41D43,145,180,196
D41A53,113,156,180
D41B37,97,142,176
D41M46,79,129,172
D41M67,17,96,151
D41AAJ,36,86,144
D41AFB,42,80,142
D41A49,38,66,128
D41L64,43,66,125
D41A50,49,62,92
D182,210,125,135
D154,205,97,111
D156,191,62,80
D10027,192,60,74
D10028,181,53,68
D186,179,49,61
D10029,175,45,56
D10030,161,40,48
D174,201,77,61
D175,197,70,57
D1052,191,59,53
D1053,189,59,59
DT700,170,46,43
D10031,172,44,48
D10032,164,45,49
D1898,209,193,188
D10033,210,123,121
D10034,185,71,75
D10035,172,65,67
D10036,168,56,59
D10037,159,48,54
D10038,143,42,51
D10039,130,36,43
D10040,130,47,53
DT192,123,50,56
D60031,134,148,172
D60032,106,116,147
D60033,94,105,140
D645,60,70,111
D669,51,52,87
D60034,149,154,169
D612,151,153,173
D004L,134,135,155
D624,109,106,141
D60035,61,52,81
D611,168,175,192
D664,82,80,126
DT1032,72,71,127
D30001,126,154,185
D30002,77,108,158
D30003,60,89,141
D30004,46,67,123
DT368,39,58,115
D30005,43,57,105
D613,160,181,197
D30006,98,139,172
D30007,83,124,159
D30008,42,76,114
D30009,37,67,104
D30010,32,62,98
D570,212,212,181
D20024,204,200,137
D20025,183,184,58
D20026,153,167,59
D20027,157,172,89
D273,181,190,121
D243,194,197,154
D260,198,205,178
D275,121,144,91
DT275,97,116,61
D277,78,94,59
D20028,78,93,58
D278,64,79,49
D20029,36,118,70
D20030,34,135,89
D233,44,110,69
D20031,39,116,74
D20032,91,154,64
D20033,92,155,78
D20034,95,146,81
D20035,80,133,65
D265,70,120,74
D232,74,117,73
D20036,62,107,62
D20037,51,101,60
D30166,166,189,190
D30167,139,174,184
D30168,113,149,169
D354,54,102,129
D30169,88,128,149
D30170,105,139,157
D30171,114,142,158
D40001,156,173,176
D461,131,153,161
D462,102,130,143
D463,82,115,130
D464,71,91,104
D40002,66,82,94
D465,63,78,90
D471,128,156,167
D40003,129,158,170
D472,101,131,147
D40004,81,108,121
D475,49,78,97
D476,55,83,104
D40005,56,74,87
D40006,59,78,92
D40007,48,62,75
D40008,55,68,78
D40009,48,58,69
D765,186,150,133
D782,181,134,112
D767,162,107,95
D783,157,84,60
DT786,134,69,49
D70058,131,67,52
D791,188,166,156
D792,185,160,146
D793,151,122,116
D70059,138,107,97
D795,100,70,66
D1518,85,55,49
D70060,82,52,48
D70061,191,184,165
D410,187,179,163
D80019,159,148,131
D813,147,136,121
D80020,127,111,95
D815,120,106,92
D80021,94,78,69
D845,86,69,55
D80022,78,63,58
D80023,67,55,52
D80024,67,58,55
D80025,63,56,55
D40148,171,174,168
D40149,152,159,154
D40150,150,156,151
D40151,129,135,131
D40152,131,138,134
D413,108,114,109
D40153,178,181,173
D40154,164,169,161
D40155,153,157,153
D40156,132,139,137
D40157,128,137,136
D001J,109,119,122
D40158,98,102,103
D40159,161,171,173
D40160,136,150,154
D40161,111,128,134
D40162,96,116,125
D40163,82,97,106
D40164,148,158,159
D431,132,144,149
D432,102,119,126
D433,82,97,107
D40165,67,85,97
D40166,61,74,83
D40167,63,71,77
D41G73,172,180,185
D41M44,147,156,174
D41L86,125,144,164
D41H10,167,169,184
D41A56,121,126,161
D41H33,88,70,126
D41AF0,170,152,176
D41N52,183,133,150
D41B77,204,116,142
D41A92,194,90,124
D41218,194,90,82
D41N00,199,76,82
D41M78,176,56,66
D41M55,161,52,60
D41230,150,47,57
D41D02,131,47,53
D41G25,135,50,65
D41AE2,102,40,52
D41G29,103,53,60
D41B69,115,52,57
D41B64,135,55,56
D41ACA,133,59,62
D41ACB,119,59,74
D41A31,92,48,52
D41N57,89,65,74
D111,216,194,182
